title,Label Asli,Prediksi,Status
salah usik tenang sang ternak lebah,1,0,FN
colok aman ya bu tutup dalam,0,1,FP
untung,0,1,FP
kasih umpan bocah cilik macan,0,1,FP
arisan putus silaturahmi,1,0,FN
keren mesya malu tari sekaribing salah tari favorit bal,1,0,FN
momen manis taman,0,1,FP
lari rhoma irama ingat rizieq shihab asah parang,1,0,FN
kacau makan ringan malam atlet pon kasih santan kara atlet judo protes fasilitas makan pada,1,0,FN
saddam hussein beliau eksekusi,1,0,FN
tantang plat resep dapur tren challenge,1,0,FN
ya allah surat al mulk tani alam kubur,1,0,FN
beli mangga mekar bawa hayuyuyuuu kuliner,0,1,FP
paket misterius joybox slime ,1,0,FN
aku semua ,0,1,FP
bro temu fungsi keranjang belanja,0,1,FP
lia tempel muluu gw,0,1,FP
cinta samper akang bekas  langsung coba vario,0,1,FP
sapi bahagia,1,0,FN
alas tidur,0,1,FP
rakit main truk kontainer rusak,0,1,FP
hadiah ulang membangongkan,1,0,FN
keluarga makan mochi palsu,1,0,FN
tsunami,1,0,FN
sedih banget lihat bang shaquille kaca,0,1,FP
kolam penuh bayi buaya,1,0,FN
skibidi toilet zombie universe delete man,0,1,FP
uni tanding,1,0,FN
adu penalti tergokil massa,1,0,FN
puding toi toi langka,1,0,FN
sus usir akbar,0,1,FP
dinar leika cuekin dudung main bareng ini khusus cewe ,0,1,FP
pancing ikan kerapu pancing canggih,1,0,FN
frank duo botak ngetroll ketemu bocah cilik sunda auto bikin bahagia,0,1,FP
tilang polisi tiba,0,1,FP
rasuk ibl si spesial klaten episode,1,0,FN
fuck diddy,1,0,FN
rumah lantai kaken andra st ngeri cuy,1,0,FN
permen sandrio,0,1,FP
baca al alquran antar tidur surat al mulk ayat kursi ar rahman tenang hati pikir cemas,1,0,FN
simak kisah jalan ayu catur join shopee affiliate dapat komisi puluh juta,1,0,FN
keren truk oleng angkut sapi kucing bebek angsa kelinci ikan kuda gajah buaya,1,0,FN
komando nkri,0,1,FP
bagong ekspresi salto,1,0,FN
tari indang cantik,0,1,FP
ajaib rusa gue lahir anak langsung cium,1,0,FN
benar papi tembus tembok,1,0,FN
kuat perangkap tikus,0,1,FP
susanti bawa spesial indonesia hadiah mri,1,0,FN
challange azan kurdi suara bikin bengek,1,0,FN
david bayu royco present gurih gurih mantap,0,1,FP
habis menang tertawa ngakak,0,1,FP
woi agus bikin malu orang but  dengar gue cerita,1,0,FN
main cepat reijnders lesat gol,0,1,FP
wakil rakyat kampung mak beti,0,1,FP
cari bantu toilet gelembung ,1,0,FN
mobil adzam,0,1,FP
periksa kuku mak lampir,1,0,FN
tips pilih buah sayur bagus gampang banget,1,0,FN
bocah cilik kaget,0,1,FP
